med,indication
abciximab,coronary artery disease
abciximab,acute coronary syndrome
abciximab,myocardial infarction
eptifibatide,coronary artery disease
eptifibatide,acute coronary syndrome
eptifibatide,myocardial infarction
tirofiban,coronary artery disease
tirofiban,acute coronary syndrome
tirofiban,myocardial infarction
dutasteride,hirsutism
dutasteride,prostatic neoplasms
dutasteride,prostatic neoplasms
dutasteride,alopecia
dutasteride,prostatic hyperplasia
finasteride,hirsutism
finasteride,prostatic neoplasms
finasteride,prostatic neoplasms
finasteride,alopecia
finasteride,prostatic hyperplasia
balsalazide,ulcerative colitis
balsalazide,crohns disease
mesalamine,ulcerative colitis
mesalamine,crohns disease
sulfasalazine,rheumatoid arthritis
sulfasalazine,rheumatoid arthritis
sulfasalazine,crohns disease
sulfasalazine,ankylosing spondylitis
sulfasalazine,ulcerative colitis
sulfasalazine,ulcerative colitis
sulfasalazine,juvenile arthritis
olsalazine,ulcerative colitis
olsalazine,crohns disease
lorcaserin,obesity
alosetron,nausea
alosetron,vomiting
alosetron,gastroparesis
alosetron,diarrhea
alosetron,irritable bowel syndrome
granisetron,nausea
granisetron,vomiting
granisetron,gastroparesis
palonosetron,nausea
palonosetron,vomiting
palonosetron,gastroparesis
ondansetron,nausea
ondansetron,vomiting
ondansetron,gastroparesis
prucalopride,constipation
benazepril,congestive heart failure
benazepril,raynaud disease
benazepril,hypertension
benazepril,left ventricular hypertrophy
benazepril,bartter disease
benazepril,coronary artery disease
benazepril,diabetic nephropathy
benazepril,systemic scleroderma
benazepril,systemic lupus erythematosus
benazepril,dilated cardiomyopathy
benazepril,left ventricular hypertrophy
captopril,congestive heart failure
captopril,rheumatoid arthritis
captopril,raynaud disease
captopril,hypertension
captopril,left ventricular hypertrophy
captopril,bartter disease
captopril,coronary artery disease
captopril,diabetic nephropathy
captopril,systemic scleroderma
captopril,rheumatoid arthritis
enalapril,congestive heart failure
enalapril,raynaud disease
enalapril,hypertension
enalapril,left ventricular hypertrophy
enalapril,bartter disease
enalapril,coronary artery disease
enalapril,diabetic nephropathy
enalapril,systemic scleroderma
enalapril,systemic lupus erythematosus
enalapril,dilated cardiomyopathy
enalapril,left ventricular hypertrophy
lisinopril,congestive heart failure
lisinopril,raynaud disease
lisinopril,hypertension
lisinopril,left ventricular hypertrophy
lisinopril,bartter disease
lisinopril,coronary artery disease
lisinopril,diabetic nephropathy
lisinopril,systemic scleroderma
lisinopril,systemic lupus erythematosus
lisinopril,dilated cardiomyopathy
lisinopril,left ventricular hypertrophy
moexipril,congestive heart failure
moexipril,raynaud disease
moexipril,hypertension
moexipril,left ventricular hypertrophy
moexipril,bartter disease
moexipril,coronary artery disease
moexipril,diabetic nephropathy
moexipril,systemic scleroderma
moexipril,systemic lupus erythematosus
moexipril,dilated cardiomyopathy
moexipril,left ventricular hypertrophy
quinapril,congestive heart failure
quinapril,raynaud disease
quinapril,hypertension
quinapril,left ventricular hypertrophy
quinapril,bartter disease
quinapril,coronary artery disease
quinapril,diabetic nephropathy
quinapril,systemic scleroderma
quinapril,systemic lupus erythematosus
quinapril,dilated cardiomyopathy
quinapril,left ventricular hypertrophy
ramipril,congestive heart failure
ramipril,raynaud disease
ramipril,hypertension
ramipril,left ventricular hypertrophy
ramipril,bartter disease
ramipril,coronary artery disease
ramipril,diabetic nephropathy
ramipril,systemic scleroderma
ramipril,systemic lupus erythematosus
ramipril,dilated cardiomyopathy
ramipril,left ventricular hypertrophy
enalaprilat,congestive heart failure
enalaprilat,raynaud disease
enalaprilat,hypertension
enalaprilat,left ventricular hypertrophy
enalaprilat,bartter disease
enalaprilat,coronary artery disease
enalaprilat,diabetic nephropathy
enalaprilat,systemic scleroderma
enalaprilat,systemic lupus erythematosus
enalaprilat,dilated cardiomyopathy
enalaprilat,left ventricular hypertrophy
fosinopril,congestive heart failure
fosinopril,raynaud disease
fosinopril,hypertension
fosinopril,left ventricular hypertrophy
fosinopril,bartter disease
fosinopril,coronary artery disease
fosinopril,diabetic nephropathy
fosinopril,systemic scleroderma
fosinopril,systemic lupus erythematosus
fosinopril,dilated cardiomyopathy
fosinopril,left ventricular hypertrophy
perindopril,congestive heart failure
perindopril,raynaud disease
perindopril,hypertension
perindopril,left ventricular hypertrophy
perindopril,bartter disease
perindopril,coronary artery disease
perindopril,diabetic nephropathy
perindopril,systemic scleroderma
perindopril,systemic lupus erythematosus
perindopril,dilated cardiomyopathy
perindopril,left ventricular hypertrophy
trandolapril,congestive heart failure
trandolapril,raynaud disease
trandolapril,hypertension
trandolapril,left ventricular hypertrophy
trandolapril,bartter disease
trandolapril,coronary artery disease
trandolapril,diabetic nephropathy
trandolapril,systemic scleroderma
trandolapril,systemic lupus erythematosus
trandolapril,dilated cardiomyopathy
trandolapril,left ventricular hypertrophy
acetaminophen,migraine
acetaminophen,osteoarthritis
acetaminophen,fever
acetaminophen,pain
acetic acid,not_found
acetylcholine,headache
conivaptan,hyponatremia
tolvaptan,hyponatremia
diethylpropion,obesity
dobutamine,heart failure with reduced ejection fraction
ephedrine,asthma
ephedrine,allergic rhinitis
ephedrine,asthma
ephedrine,rhinitis
ephedrine,bronchospasm
ephedrine,orthostatic hypotension
norepinephrine,shock
norepinephrine,hypotension
phendimetrazine,obesity
phenylephrine,anal pruritus
phenylephrine,anal fissure
phenylephrine,hemorrhoids
phenylephrine,hypotension
phenylephrine,rhinitis
phenylephrine,glaucoma
phenylephrine,paroxysmal supraventricular tachycardia
phenylephrine,supraventricular tachycardia
phenylephrine,glaucoma
phenylephrine,septic shock
pseudoephedrine,sinusitis
pseudoephedrine,asthma
pseudoephedrine,allergic rhinitis
pseudoephedrine,rhinitis
pseudoephedrine,common cold
