input,output
dalfampridine,4-aminopyridine
dalfampridine er,4-aminopyridine
a&d ex oint,a&d ex oint
abacavir sulfate-lamivudine,"abacavir,lamivudine"
abatacept,abatacept
verzenio,abemaciclib
abemaciclib,abemaciclib
abiraterone acetate,abiraterone
zytiga,abiraterone
absorbase ex oint,absorbase ex oint
acamprosate calcium,acamprosate
acarbose,acarbose
acebutolol hcl,acebutolol
acetaminophen,acetaminophen
acetaminophen er,acetaminophen
acetaminophen extra strength,acetaminophen
hm arthritis pain relief,acetaminophen
mapap arthritis pain,acetaminophen
tylenol,acetaminophen
tylenol arthritis pain,acetaminophen
tylenol cold/flu severe,acetaminophen
acetaminophen-caffeine,"acetaminophen,caffeine"
acetaminophen-codeine,"acetaminophen,codeine"
acetaminophen-codeine #3,"acetaminophen,codeine"
aspirin free pm,"acetaminophen,diphenhydramine"
diphenhydramine-apap,"acetaminophen,diphenhydramine"
diphenhydramine-apap (sleep),"acetaminophen,diphenhydramine"
tylenol pm,"acetaminophen,diphenhydramine"
acetazolamide,acetazolamide
acetazolamide er,acetazolamide
acetylcysteine,acetylcysteine
aclidinium bromide,aclidinium bromide
tudorza pressair,aclidinium bromide
acyclovir,acyclovir
adalimumab,adalimumab
humira pen,adalimumab
humira sc,adalimumab
adapalene,adapalene
albuterol,albuterol
albuterol in,albuterol
albuterol sulfate,albuterol
albuterol sulfate hfa,albuterol
albuterol sulfate hfa in,albuterol
albuterol sulfate in,albuterol
proair hfa,albuterol
proair hfa in,albuterol
proair respiclick,albuterol
ventolin hfa,albuterol
proventil hfa;ventolin hfa,albuterol
duo-neb,"albuterol,ipratropium"
alendronate sodium,alendronate
fosamax,alendronate
alendronate-cholecalciferol,"alendronate,vitamin d"
alfuzosin hcl er,alfuzosin
alfuzosin hcl,alfuzosin
uroxatral,alfuzosin
alirocumab,alirocumab
praluent,alirocumab
aliskiren fumarate,aliskiren
aliskiren-amlodipine,"aliskiren,amlodipine"
allopurinol,allopurinol
zyloprim,allopurinol
alogliptin benzoate,alogliptin
alpelisib,alpelisib
piqray,alpelisib
alpha-lipoic acid,alpha-lipoic acid
alpha1-proteinase inhibitor,alpha1-proteinase inhibitor
alphagan,brimonidine
alphagan p,brimonidine
alprazolam,alprazolam
ativan,alprazolam
xanax,alprazolam
alprostadil,alprostadil
alprostadil (vasodilator),alprostadil
alteplase,alteplase
alum sulfate-ca acetate,"aluminum sulphate,calcium acetate"
maalox max,"aluminium hydroxide,magnesium hydroxide,simethicone"
maalox,"aluminium hydroxide,magnesium hydroxide,simethicone"
aluminum chloride,aluminum chloride
aluminum & magnesium hydroxide,"aluminum hydroxide, magnesium hydroxide"
alum & mag hydroxide-simeth,"aluminum hydroxide, magnesium hydroxide,simethicone"
alum hydroxide-mag carbonate,"aluminum hydroxide,magnesium carbonate"
aluminum-magnesium-simethicone,"aluminum hydroxide,magnesium hydroxide,simethicone"
geri-lanta,"aluminum hydroxide,magnesium hydroxide,simethicone"
alyacen,"ethynil estradiol,norethindronee"
amantadine hcl,amantadine
gocovri,amantadine
ambenonium chloride,ambenonium
ambrisentan,ambrisentan
amerigel barrier ex,amerigel barrier ex
amiloride hcl,amiloride
amiloride-hydrochlorothiazide,"amiloride,hydrochlorothiazide"
amino acid infusion,amino acids
amino acids,amino acids
amino acids-protein hydrolys,amino acids
amiodarone hcl,amiodarone
pacerone,amiodarone
amitriptyline hcl,amitriptyline
elavil,amitriptyline
amlodipine benzoate,amlodipine
amlodipine besylate,amlodipine
norvasc,amlodipine
amlodipine-atorvastatin,"amlodipine,atorvastatin"
amlodipine besy-benazepril hcl,"amlodipine,benazepril"
amlodipine besylate-valsartan,"amlodipine,valsartan"
lac-hydrin,ammonium lactate
lac-hydrin five,ammonium lactate
ammonium lactate,ammonium lactate
amoxicillin,amoxicillin
amoxicillin-pot clavulanate,"amoxicillin,clavulanate"
adderall,"amphetamine,dextroamphetamine"
adderall xr,"amphetamine,dextroamphetamine"
amphetamine-dextroamphet er,"amphetamine,dextroamphetamine"
amphetamine-dextroamphetamine,"amphetamine,dextroamphetamine"
mydayis,"amphetamine,dextroamphetamine"
ampicillin,ampicillin
anastrozole,anastrozole
antacid,antacid
antacid liquid,antacid
cvs antacid,antacid
cvs antifungal ex,dermatological
apalutamide,apalutamide
apixaban,apixaban
eliquis,apixaban
eliquis dvt/pe starter pack,apixaban
apremilast,apremilast
